iter	Passed	Remaining
0	0	77
1	1	66
2	1	61
3	2	58
4	3	57
5	3	55
6	4	54
7	4	53
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	7	48
14	8	48
15	9	47
16	9	46
17	10	46
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	14	40
27	15	39
28	16	39
29	16	38
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	21	32
40	22	32
41	23	31
42	23	31
43	23	30
44	24	29
45	24	29
46	25	28
47	25	28
48	26	27
49	27	27
50	27	26
51	28	25
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	21
61	33	20
62	34	19
63	34	19
64	35	18
65	35	18
66	36	17
67	36	17
68	37	16
69	37	16
70	38	15
71	38	15
72	39	14
73	39	14
74	40	13
75	40	12
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	45	8
84	45	8
85	46	7
86	46	6
87	47	6
88	47	5
89	48	5
90	48	4
91	49	4
92	49	3
93	50	3
94	50	2
95	51	2
96	51	1
97	52	1
98	52	0
99	53	0
