iter	Passed	Remaining
0	46	46612
1	47	23597
2	47	15924
3	48	12108
4	49	9808
5	49	8254
6	50	7157
7	51	6325
8	51	5682
9	52	5165
10	52	4747
11	53	4398
12	54	4102
13	54	3848
14	55	3631
15	55	3440
16	56	3277
17	57	3124
18	57	2992
19	58	2872
20	59	2762
21	59	2660
22	60	2569
23	61	2485
24	61	2407
25	62	2335
26	62	2267
27	63	2207
28	64	2148
29	64	2095
30	65	2042
31	65	1994
32	66	1950
33	67	1908
34	67	1868
35	68	1832
36	69	1796
37	69	1764
38	70	1732
39	70	1703
40	71	1675
41	72	1645
42	72	1617
43	73	1589
44	73	1567
45	74	1545
46	75	1522
47	75	1501
48	76	1479
49	76	1460
50	77	1441
51	77	1420
52	78	1399
53	78	1379
54	79	1361
55	79	1344
56	80	1327
57	80	1309
58	81	1292
59	81	1275
60	81	1262
61	82	1246
62	82	1230
63	83	1216
64	83	1202
65	84	1190
66	84	1178
67	85	1166
68	85	1160
69	86	1148
70	86	1137
71	87	1125
72	87	1114
73	88	1103
74	88	1095
75	89	1087
76	89	1077
77	90	1067
78	90	1058
79	91	1048
80	91	1039
81	92	1031
82	92	1020
83	92	1011
84	93	1003
85	93	994
86	94	986
87	94	979
88	94	971
89	95	964
90	95	957
91	96	951
92	96	945
93	97	938
94	98	933
95	99	940
96	102	950
97	103	948
98	104	950
99	104	944
100	105	939
101	106	935
102	107	932
103	107	927
104	108	924
105	109	921
106	109	917
107	110	914
108	112	915
109	112	911
110	113	906
111	113	901
112	114	898
113	115	895
114	115	891
115	116	887
116	117	883
117	117	880
118	118	877
119	119	873
120	119	870
121	120	865
122	121	863
123	121	860
124	122	856
125	122	852
126	123	848
127	123	844
128	124	841
129	125	837
130	125	833
131	126	829
132	126	826
133	127	822
134	127	819
135	128	816
136	129	813
137	129	809
138	130	806
139	130	803
140	131	800
141	131	796
142	132	794
143	133	791
144	133	788
145	135	792
146	136	790
147	137	788
148	137	786
149	138	783
150	138	781
151	139	778
152	140	776
153	140	773
154	141	772
155	142	770
156	143	768
157	143	765
158	144	762
159	144	760
160	145	757
161	146	755
162	146	753
163	147	750
164	147	748
165	148	746
166	149	744
167	150	742
168	150	741
169	151	739
170	151	736
171	152	735
172	153	733
173	154	731
174	155	731
175	155	729
176	156	727
177	157	725
178	157	723
179	158	721
180	159	719
181	159	718
182	160	716
183	160	713
184	161	712
185	162	710
186	162	707
187	163	706
188	164	704
189	164	702
190	165	700
191	166	699
192	167	698
193	167	697
194	168	695
195	169	694
196	169	692
197	170	690
198	171	689
199	171	687
200	172	685
201	173	684
202	173	682
203	174	681
204	175	679
205	175	677
206	176	675
207	177	674
208	177	672
209	178	671
210	179	669
211	179	668
212	180	666
213	181	665
214	181	663
215	182	662
216	183	660
217	183	658
218	184	657
219	185	655
220	185	654
221	186	653
222	187	651
223	187	650
224	188	648
225	189	647
226	189	646
227	190	645
228	191	643
229	192	643
230	192	641
231	193	640
232	194	639
233	194	637
234	195	636
235	196	634
236	196	633
237	197	631
238	197	630
239	198	628
240	199	627
241	200	626
242	200	625
243	201	623
244	201	622
245	202	620
246	203	619
247	203	618
248	204	617
249	205	615
250	205	614
251	206	612
252	207	611
253	207	610
254	208	608
255	209	607
256	209	606
257	210	605
258	211	604
259	211	602
260	212	601
261	213	600
262	213	599
263	214	598
264	215	597
265	215	595
266	216	594
267	217	593
268	217	592
269	218	590
270	219	589
271	219	588
272	220	587
273	221	586
274	221	585
275	222	584
276	223	583
277	224	581
278	224	580
279	225	579
280	226	578
281	226	577
282	227	576
283	228	575
284	228	574
285	231	578
286	232	577
287	234	580
288	235	579
289	236	578
290	237	578
291	237	576
292	238	575
293	238	573
294	239	572
295	240	571
296	240	569
297	241	568
298	241	566
299	242	565
300	242	563
301	243	562
302	243	561
303	244	559
304	244	558
305	245	557
306	246	555
307	246	554
308	247	553
309	248	552
310	248	551
311	249	550
312	249	548
313	250	547
314	251	546
315	251	545
316	252	543
317	252	542
318	253	541
319	254	540
320	254	539
321	255	537
322	255	536
323	256	535
324	256	533
325	257	532
326	258	531
327	258	529
328	259	528
329	259	527
330	260	526
331	260	524
332	261	524
333	262	522
334	262	521
335	263	520
336	264	519
337	264	518
338	265	517
339	265	515
340	266	514
341	266	513
342	267	512
343	267	510
344	268	509
345	269	508
346	269	507
347	270	505
348	270	504
349	271	503
350	271	502
351	272	500
352	272	499
353	273	498
354	273	497
355	274	496
356	275	495
357	275	494
358	276	493
359	277	492
360	278	492
361	279	491
362	279	490
363	280	489
364	280	488
365	281	487
366	281	486
367	282	484
368	282	483
369	283	482
370	284	481
